isin,as_of,mdd_url,risk_indicator_raw,risk_indicator_1to5,recommended_min_term_years,objective,benchmark,ter,tc,tic,fund_size_zar,min_lump_sum,min_debit_order,distribution_frequency,asset_allocation,performance,entered_by,nav_cpu,nav_date,fee_period,inception_date,annual_management_fee,return_high_12m,return_low_12m,return_extremes_basis,risk_narrative,horizon_words,portfolio_manager,regulation_28,income_distribution,top_holdings
ZAE000188538,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/01%20-%20Fundrock%20Collective%20Investments/FR%20Best%20Blend%20Balanced%20Fund%20(C)%20BBBCF.pdf,Moderate - High Risk,4,5,a specialist multi managed prudential portfolio that seeks to sustain a high long-term total return,CPI + 3%,1.26,0.11,1.37,102124820,0,0,,,"{""1y"": 14.41, ""3y"": 14.24, ""5y"": 10.71, ""10y"": 7.24}",seed transcription,183.63,2026-07-31,1y,2014-05-15,0.58,26.22,-6.10,calendar_year,"This portfolio holds more equity exposure than a medium risk portfolio but less than a high-risk portfolio. In turn the expected volatility is higher than a medium risk portfolio, but less than a high-risk portfolio. The probability of losses is higher than that of a medium risk portfolio, but less than a high-risk portfolio and the expected potential long-term investment returns could therefore be higher than a medium risk portfolio.",it is suitable for medium to long-term investment horizons,Apex Investment Consulting SA,true,"{""2025-12"": 2.27, ""2026-06"": 2.04}","{""Best Blend Balanced Fund - Satrix ALSI Seg"": 40.0, ""1nvest Global REIT Idx Fdr Fd"": 5.4, ""FR Best Blend Specialist Equity"": 4.5, ""Sesfikile FR Property"": 3.7, ""Satrix MSCI China Feeder ETF"": 2.6, ""Ninety One Value"": 2.5, ""Prescient China Balanced FF"": 2.4, ""Foord Inflation-Linked Income Fund"": 2.4, ""STANLIB Inflation Linked Bond"": 2.4, ""Granate FR Flexible"": 2.3}"
ZAE000027108,2026-07-31,https://satrix.co.za/fund/mdd/STX40,Aggressive,5,,"to track, as closely as possible, the value of the FTSE/JSE Top 40 Index",FTSE/JSE Top 40 (J200),0.10,0.03,0.13,21400000000,,,Quarterly,,"{""1y"": 17.27, ""3y"": 15.55, ""5y"": 14.39, ""10y"": 11.88}",seed transcription,10339,2026-07-31,1y,2000-11-27,0.09,25.34,1.17,rolling_12m,,,The Satrix Investment Team,,"{""2026-06"": 98.31, ""2026-03"": 96.62, ""2025-12"": 55.71, ""2025-09"": 77.98}","{""Naspers Ltd"": 9.16, ""FirstRand Ltd"": 7.17, ""Gold Fields Ltd"": 6.82, ""Capitec Bank Holdings Ltd"": 6.05, ""Standard Bank Group Ltd"": 6.03, ""AngloGold Ashanti plc"": 5.84, ""MTN Group Ltd"": 5.34, ""Valterra Platinum Limited"": 4.26, ""Anglo American plc"": 3.31, ""ABSA Group Limited"": 2.69}"
ZAE000199840,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/Cartesian%20Capital/Cartesian%20FR%20Money%20Market%20Fund%20(A)%20CABFA.pdf,Low Risk,1,0.5,a local money market portfolio whose objective is to provide a medium whereby investors can obtain undivided participation in a diversified portfolio of money market instruments and assets in liquid form,SteFI Call Deposit Index,0.31,,0.31,820320000,0,0,Monthly,,,seed transcription,,,,,,,,,,,,,,
ZAE000190823,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/36ONE%20Asset%20Management/36ONE%20FR%20SA%20Equity%20Fund%20(C)%20BCSEC.pdf,High Risk,5,7,a domestic equity portfolio having the primary objective of generating sustainable capital growth for investors; the portfolio has a minimum equity exposure of 95%,FTSE/JSE Capped All Share Index,1.34,0.79,2.13,22025233144,0,0,Semi-annually (July and January),,,seed transcription,,,,,,,,,,,,,,
ZAE000203170,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/PortfolioMetrix%20Asset%20Management%20SA/PortfolioMetrix%20FR%20SA%20Property%20Fund%20(A)%20PMPFA.pdf,Moderate - High Risk,4,5,a real estate portfolio with a primary objective to provide the investor with a high income and long term capital appreciation found through investing in South African listed property securities,FTSE/JSE SA Listed Property Total Return Index,1.10,0.17,1.27,1502066113,0,0,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000205498,2026-07-31,https://www.bcis.co.za/upload/factsheet_categories_folders/funds/Harvard%20House%20Investment%20Management/Harvard%20House%20FR%20Property%20Fund%20(A)%20HHBPA.pdf,,,5,a real estate portfolio with a primary objective to provide the investor with a high income and long-term capital appreciation found through investing in mainly listed property securities,FTSE/JSE SA Listed Property Index,1.21,0.07,1.28,247504621,0,0,Quarterly,,,seed transcription,,,,,,,,,,,,,,
ZAE000240123,2026-07-31,https://satrix.co.za/fund/mdd/STXILB,Cautious,2,,"to track, as closely as possible, the performance of the inflation-linked bond benchmark; the fund aims to provide stable income in conjunction with fluctuating capital values",FTSE/JSE Inflation-Linked Government Index,0.25,0.00,0.25,362000000,,,Monthly,,"{""1y"": 18.51, ""3y"": 11.04, ""5y"": 9.08, ""inception"": 6.27}",seed transcription,923,2026-07-31,1y,2017-02-24,0.18,18.51,-4.49,rolling_12m,,has a medium-term investment horizon,The Satrix Investment Team,,"{""2026-06"": 3.93, ""2026-03"": 5.02, ""2026-02"": 0.0, ""2026-01"": 2.68}","{""RSA ILB 2.50% 31122050"": 17.68, ""RSA ILB 2.25% 31012038"": 15.94, ""I2046 RSA ILB 2.50% 31032046"": 15.78, ""RSA ILB 1.875% 28022033"": 13.98, ""RSA ILB 1.875% 31032029"": 11.92, ""RSA ILB 3.45% 07122033"": 11.14, ""RSA ILB 2.60% 31032028"": 8.35, ""I2043"": 1.68, ""RSA GOVERNMENT i2031"": 1.5, ""I2058"": 1.41}"
ZAE000240131,2026-07-31,https://satrix.co.za/fund/mdd/STXPRO,Aggressive,5,,"to track, as closely as possible, the value of the FTSE/JSE All Property Index",FTSE/JSE All Property Index (J803),0.33,0.08,0.41,826000000,,,Quarterly,,"{""1y"": 25.23, ""3y"": 26.92, ""5y"": 17.67, ""inception"": 2.62}",seed transcription,1440,2026-07-31,1y,2017-02-24,0.29,27.93,-44.86,rolling_12m,,,The Satrix Investment Team,,"{""2026-06"": 23.74, ""2026-03"": 10.54, ""2025-12"": 34.31, ""2025-09"": 15.02}","{""NEPI Rockcastle N.V."": 15.11, ""Growthpoint Prop Ltd"": 14.77, ""Redefine Properties Ltd"": 11.23, ""Vukile Property Fund Ltd"": 8.51, ""Fortress Real Est Inv B"": 7.6, ""Hyprop Investments Ltd"": 6.15, ""Resilient Property Income Fund Ltd"": 5.98, ""Equities Property Fund Limited"": 3.75, ""Fairvest Limited B"": 3.44, ""Hammerson Plc"": 3.18}"
ZAE000246104,2026-07-31,https://satrix.co.za/fund/mdd/STXWDM,Aggressive,5,,"to track, as closely as possible, the value of the MSCI World Index in ZAR; the fund replicates the index by investing in the Amundi Core MSCI World UCITS ETF Acc",MSCI World Index,0.25,0.00,0.25,,,,,,,seed transcription,,,,,,,,,,,,,,
ZAE000246633,2026-07-31,https://satrix.co.za/fund/mdd/STXEMG,Aggressive,5,,"to track, as closely as possible, the value of the MSCI Emerging Market IMI Index in ZAR",MSCI Emerging Market IMI Index,0.40,0.00,0.40,,,,,,,seed transcription,,,,,,,,,,,,,,
